run_id,task_id,world,interface_condition,ablation,fault_type,seed,agent_id,catalog_size,tool_confusion_level,entity_ambiguity_level,workflow_length,effect_severity,approval_required,state_correct_completion,postcondition_satisfied,safety_predicate_satisfied,duplicate_effect,unintended_effect,unauthorized_effect,residual_effect,recovery_success,unknown_outcome_reconciled,human_intervention_count,model_turns,tool_calls,transport_retries,logical_reexecutions,context_tokens,tool_definition_tokens,tool_result_tokens,wall_clock_ms,recovery_ms,verification_ms,runtime_overhead_ms,terminal_agent_claim,terminal_oracle_outcome,initial_state_hash
9ea970e3-c19,lrj_01_multi_stage_report,long_running_jobs,I2,,interrupted_execution,42,scripted-v1,10,,,long,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,54,54,0,25,0,0,25,success,completed_as_requested,8782d88ce7cc68f5
8e27b605-52f,lrj_01_multi_stage_report,long_running_jobs,I2,,interrupted_execution,123,scripted-v1,10,,,long,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,54,54,0,0,0,0,0,success,completed_as_requested,8782d88ce7cc68f5
6e634b09-920,lrj_01_multi_stage_report,long_running_jobs,I2,,interrupted_execution,456,scripted-v1,10,,,long,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,54,54,0,0,0,0,0,success,completed_as_requested,8782d88ce7cc68f5
0d4a5622-937,lrj_01_multi_stage_report,long_running_jobs,I3,,interrupted_execution,42,scripted-v1,10,,,long,mutable,,true,true,true,false,false,false,false,true,,0,1,1,0,0,54,54,0,0,0,0,0,success,completed_as_requested,8782d88ce7cc68f5
125d88d6-d83,lrj_01_multi_stage_report,long_running_jobs,I3,,interrupted_execution,123,scripted-v1,10,,,long,mutable,,true,true,true,false,false,false,false,true,,0,1,1,0,0,54,54,0,0,0,0,0,success,completed_as_requested,8782d88ce7cc68f5
60f25b33-033,lrj_01_multi_stage_report,long_running_jobs,I3,,interrupted_execution,456,scripted-v1,10,,,long,mutable,,true,true,true,false,false,false,false,true,,0,1,1,0,0,54,54,0,0,0,0,0,success,completed_as_requested,8782d88ce7cc68f5
cde733c1-c87,lrj_01_multi_stage_report,long_running_jobs,I5,,interrupted_execution,42,scripted-v1,10,,,long,mutable,,true,true,true,false,false,false,false,true,,0,1,1,0,0,54,54,0,0,0,0,0,success,completed_as_requested,8782d88ce7cc68f5
c8b3542c-4db,lrj_01_multi_stage_report,long_running_jobs,I5,,interrupted_execution,123,scripted-v1,10,,,long,mutable,,true,true,true,false,false,false,false,true,,0,1,1,0,0,54,54,0,0,0,0,0,success,completed_as_requested,8782d88ce7cc68f5
1e97e0aa-86d,lrj_01_multi_stage_report,long_running_jobs,I5,,interrupted_execution,456,scripted-v1,10,,,long,mutable,,true,true,true,false,false,false,false,true,,0,1,1,0,0,54,54,0,0,0,0,0,success,completed_as_requested,8782d88ce7cc68f5
cdbdb55e-cee,lrj_01_multi_stage_report,long_running_jobs,I5-minus-resumable-invocation,,interrupted_execution,42,scripted-v1,10,,,long,mutable,,false,false,true,false,false,false,true,false,,0,1,1,0,1,54,54,0,0,0,0,0,partial,failure,8782d88ce7cc68f5
8943c1fe-857,lrj_01_multi_stage_report,long_running_jobs,I5-minus-resumable-invocation,,interrupted_execution,123,scripted-v1,10,,,long,mutable,,false,false,true,false,false,false,true,false,,0,1,1,0,1,54,54,0,0,0,0,0,partial,failure,8782d88ce7cc68f5
e52dde64-211,lrj_01_multi_stage_report,long_running_jobs,I5-minus-resumable-invocation,,interrupted_execution,456,scripted-v1,10,,,long,mutable,,false,false,true,false,false,false,true,false,,0,1,1,0,1,54,54,0,0,0,0,0,partial,failure,8782d88ce7cc68f5
e539cba4-b64,lrj_01_multi_stage_report,long_running_jobs,I5-minus-durable-state,,interrupted_execution,42,scripted-v1,10,,,long,mutable,,false,false,true,false,false,false,true,false,,0,1,1,0,1,54,54,0,0,0,0,0,partial,failure,8782d88ce7cc68f5
51f6519b-ba9,lrj_01_multi_stage_report,long_running_jobs,I5-minus-durable-state,,interrupted_execution,123,scripted-v1,10,,,long,mutable,,false,false,true,false,false,false,true,false,,0,1,1,0,1,54,54,0,0,0,0,0,partial,failure,8782d88ce7cc68f5
f0670a1b-b11,lrj_01_multi_stage_report,long_running_jobs,I5-minus-durable-state,,interrupted_execution,456,scripted-v1,10,,,long,mutable,,false,false,true,false,false,false,true,false,,0,1,1,0,1,54,54,0,0,0,0,0,partial,failure,8782d88ce7cc68f5
530dd374-d83,lrj_02_midflight_input,long_running_jobs,I2,,interrupted_execution,42,scripted-v1,10,,,long,immutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,56,56,0,0,0,0,0,success,completed_as_requested,8782d88ce7cc68f5
d3caf809-352,lrj_02_midflight_input,long_running_jobs,I2,,interrupted_execution,123,scripted-v1,10,,,long,immutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,56,56,0,0,0,0,0,success,completed_as_requested,8782d88ce7cc68f5
6a6de7b4-62a,lrj_02_midflight_input,long_running_jobs,I2,,interrupted_execution,456,scripted-v1,10,,,long,immutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,56,56,0,0,0,0,0,success,completed_as_requested,8782d88ce7cc68f5
7e127b51-ef4,lrj_02_midflight_input,long_running_jobs,I3,,interrupted_execution,42,scripted-v1,10,,,long,immutable,,true,true,true,false,false,false,false,true,,0,1,1,0,0,56,56,0,0,0,0,0,success,completed_as_requested,8782d88ce7cc68f5
e16da8e0-eb1,lrj_02_midflight_input,long_running_jobs,I3,,interrupted_execution,123,scripted-v1,10,,,long,immutable,,true,true,true,false,false,false,false,true,,0,1,1,0,0,56,56,0,0,0,0,0,success,completed_as_requested,8782d88ce7cc68f5
38b8baa7-de7,lrj_02_midflight_input,long_running_jobs,I3,,interrupted_execution,456,scripted-v1,10,,,long,immutable,,true,true,true,false,false,false,false,true,,0,1,1,0,0,56,56,0,0,0,0,0,success,completed_as_requested,8782d88ce7cc68f5
24883fbe-a33,lrj_02_midflight_input,long_running_jobs,I5,,interrupted_execution,42,scripted-v1,10,,,long,immutable,,true,true,true,false,false,false,false,true,,0,1,1,0,0,56,56,0,0,0,0,0,success,completed_as_requested,8782d88ce7cc68f5
3696ceff-923,lrj_02_midflight_input,long_running_jobs,I5,,interrupted_execution,123,scripted-v1,10,,,long,immutable,,true,true,true,false,false,false,false,true,,0,1,1,0,0,56,56,0,0,0,0,0,success,completed_as_requested,8782d88ce7cc68f5
3c6102a9-345,lrj_02_midflight_input,long_running_jobs,I5,,interrupted_execution,456,scripted-v1,10,,,long,immutable,,true,true,true,false,false,false,false,true,,0,1,1,0,0,56,56,0,0,0,0,0,success,completed_as_requested,8782d88ce7cc68f5
60fcbfdb-e2a,lrj_02_midflight_input,long_running_jobs,I5-minus-resumable-invocation,,interrupted_execution,42,scripted-v1,10,,,long,immutable,,false,false,true,false,false,false,true,false,,0,1,1,0,1,56,56,0,0,0,0,0,partial,failure,8782d88ce7cc68f5
970beba5-220,lrj_02_midflight_input,long_running_jobs,I5-minus-resumable-invocation,,interrupted_execution,123,scripted-v1,10,,,long,immutable,,false,false,true,false,false,false,true,false,,0,1,1,0,1,56,56,0,0,0,0,0,partial,failure,8782d88ce7cc68f5
a4861801-8ba,lrj_02_midflight_input,long_running_jobs,I5-minus-resumable-invocation,,interrupted_execution,456,scripted-v1,10,,,long,immutable,,false,false,true,false,false,false,true,false,,0,1,1,0,1,56,56,0,0,0,0,0,partial,failure,8782d88ce7cc68f5
67ce15cf-69e,lrj_02_midflight_input,long_running_jobs,I5-minus-durable-state,,interrupted_execution,42,scripted-v1,10,,,long,immutable,,false,false,true,false,false,false,true,false,,0,1,1,0,1,56,56,0,0,0,0,0,partial,failure,8782d88ce7cc68f5
