run_id,task_id,world,interface_condition,ablation,fault_type,seed,agent_id,catalog_size,tool_confusion_level,entity_ambiguity_level,workflow_length,effect_severity,approval_required,state_correct_completion,postcondition_satisfied,safety_predicate_satisfied,duplicate_effect,unintended_effect,unauthorized_effect,residual_effect,recovery_success,unknown_outcome_reconciled,human_intervention_count,model_turns,tool_calls,transport_retries,logical_reexecutions,context_tokens,tool_definition_tokens,tool_result_tokens,wall_clock_ms,recovery_ms,verification_ms,runtime_overhead_ms,terminal_agent_claim,terminal_oracle_outcome,initial_state_hash
e32f53f0-a98,lc_01_select_10,large_catalog,I1,,,42,scripted-v1,10,,,short,none,,false,false,true,false,false,false,true,,,0,1,1,0,0,80,80,0,34,0,0,34,success,failure,a4544fada32e8477
67443e0c-bda,lc_01_select_10,large_catalog,I1,,,123,scripted-v1,10,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,90,90,0,0,0,0,0,success,completed_as_requested,26aa447c225d38fa
070b39cd-bcf,lc_01_select_10,large_catalog,I1,,,456,scripted-v1,10,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,80,80,0,0,0,0,0,success,completed_as_requested,8879e70c755fedd5
31ce28f7-4d1,lc_01_select_10,large_catalog,I2,,,42,scripted-v1,10,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,34,34,0,0,0,0,0,success,completed_as_requested,a4544fada32e8477
f94ab2cd-776,lc_01_select_10,large_catalog,I2,,,123,scripted-v1,10,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,40,40,0,0,0,0,0,success,completed_as_requested,26aa447c225d38fa
0b9e709f-025,lc_01_select_10,large_catalog,I2,,,456,scripted-v1,10,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,38,38,0,0,0,0,0,success,completed_as_requested,8879e70c755fedd5
9ee122a0-d18,lc_01_select_10,large_catalog,I5,,,42,scripted-v1,10,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,34,34,0,0,0,0,0,success,completed_as_requested,a4544fada32e8477
57aa3b85-ab0,lc_01_select_10,large_catalog,I5,,,123,scripted-v1,10,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,40,40,0,0,0,0,0,success,completed_as_requested,26aa447c225d38fa
0f23431e-eb2,lc_01_select_10,large_catalog,I5,,,456,scripted-v1,10,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,38,38,0,0,0,0,0,success,completed_as_requested,8879e70c755fedd5
50794313-c12,lc_01_select_10,large_catalog,I5-minus-selective-discovery,,,42,scripted-v1,10,,,short,none,,false,false,true,false,false,false,true,,,0,1,1,0,0,78,78,0,1,0,0,1,success,failure,a4544fada32e8477
2e60dffc-16e,lc_01_select_10,large_catalog,I5-minus-selective-discovery,,,123,scripted-v1,10,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,88,88,0,0,0,0,0,success,completed_as_requested,26aa447c225d38fa
acd3a899-cfc,lc_01_select_10,large_catalog,I5-minus-selective-discovery,,,456,scripted-v1,10,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,78,78,0,0,0,0,0,success,completed_as_requested,8879e70c755fedd5
23a05a0c-407,lc_02_select_50,large_catalog,I1,,,42,scripted-v1,50,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,392,392,0,1,0,0,1,success,completed_as_requested,00444528e60c3e2c
cbd48fb0-d14,lc_02_select_50,large_catalog,I1,,,123,scripted-v1,50,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,394,394,0,1,0,0,1,success,completed_as_requested,8c6b1b7454198e3e
962e3b9c-615,lc_02_select_50,large_catalog,I1,,,456,scripted-v1,50,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,394,394,0,1,0,0,1,success,completed_as_requested,885826e86e93bff9
56d8d491-0ff,lc_02_select_50,large_catalog,I2,,,42,scripted-v1,50,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,34,34,0,1,0,0,1,success,completed_as_requested,00444528e60c3e2c
7590e2e6-c49,lc_02_select_50,large_catalog,I2,,,123,scripted-v1,50,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,34,34,0,1,0,0,1,success,completed_as_requested,8c6b1b7454198e3e
e39d4db4-bae,lc_02_select_50,large_catalog,I2,,,456,scripted-v1,50,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,30,30,0,1,0,0,1,success,completed_as_requested,885826e86e93bff9
a061b596-663,lc_02_select_50,large_catalog,I5,,,42,scripted-v1,50,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,34,34,0,1,0,0,1,success,completed_as_requested,00444528e60c3e2c
c5eec565-ced,lc_02_select_50,large_catalog,I5,,,123,scripted-v1,50,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,34,34,0,1,0,0,1,success,completed_as_requested,8c6b1b7454198e3e
f6f7f926-ba0,lc_02_select_50,large_catalog,I5,,,456,scripted-v1,50,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,30,30,0,1,0,0,1,success,completed_as_requested,885826e86e93bff9
29bc44ed-e00,lc_02_select_50,large_catalog,I5-minus-selective-discovery,,,42,scripted-v1,50,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,390,390,0,1,0,0,1,success,completed_as_requested,00444528e60c3e2c
5a9f3fa6-4e3,lc_02_select_50,large_catalog,I5-minus-selective-discovery,,,123,scripted-v1,50,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,392,392,0,1,0,0,1,success,completed_as_requested,8c6b1b7454198e3e
07d0712e-d19,lc_02_select_50,large_catalog,I5-minus-selective-discovery,,,456,scripted-v1,50,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,392,392,0,1,0,0,1,success,completed_as_requested,885826e86e93bff9
fe005970-39b,lc_03_select_200,large_catalog,I1,,,42,scripted-v1,200,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,2286,2286,0,3,0,0,3,success,completed_as_requested,133f12439b716fc0
189937d1-ae0,lc_03_select_200,large_catalog,I1,,,123,scripted-v1,200,,,short,none,,false,false,true,false,false,false,false,,,0,1,1,0,0,2236,2236,0,6,0,1,5,success,failure,dd987efe5c613945
d45edd92-335,lc_03_select_200,large_catalog,I1,,,456,scripted-v1,200,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,2284,2284,0,3,0,0,3,success,completed_as_requested,78af6530a98ea7a2
ff69b951-bd5,lc_03_select_200,large_catalog,I2,,,42,scripted-v1,200,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,54,54,0,2,0,0,2,success,completed_as_requested,133f12439b716fc0
48d2fd20-50a,lc_03_select_200,large_catalog,I2,,,123,scripted-v1,200,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,54,54,0,2,0,0,2,success,completed_as_requested,dd987efe5c613945
1ad75784-6aa,lc_03_select_200,large_catalog,I2,,,456,scripted-v1,200,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,54,54,0,2,0,0,2,success,completed_as_requested,78af6530a98ea7a2
ce75d615-832,lc_03_select_200,large_catalog,I5,,,42,scripted-v1,200,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,54,54,0,2,0,0,2,success,completed_as_requested,133f12439b716fc0
08e662af-70f,lc_03_select_200,large_catalog,I5,,,123,scripted-v1,200,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,54,54,0,9,0,6,3,success,completed_as_requested,dd987efe5c613945
8fed5b38-acc,lc_03_select_200,large_catalog,I5,,,456,scripted-v1,200,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,54,54,0,3,0,0,3,success,completed_as_requested,78af6530a98ea7a2
4bc03945-c7a,lc_03_select_200,large_catalog,I5-minus-selective-discovery,,,42,scripted-v1,200,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,2284,2284,0,3,0,0,3,success,completed_as_requested,133f12439b716fc0
683f9cf9-284,lc_03_select_200,large_catalog,I5-minus-selective-discovery,,,123,scripted-v1,200,,,short,none,,false,false,true,false,false,false,false,,,0,1,1,0,0,2234,2234,0,4,0,1,3,success,failure,dd987efe5c613945
525110fb-8f4,lc_03_select_200,large_catalog,I5-minus-selective-discovery,,,456,scripted-v1,200,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,2282,2282,0,3,0,0,3,success,completed_as_requested,78af6530a98ea7a2
cd416a6d-157,lc_04_catalog_1000,large_catalog,I1,,,42,scripted-v1,1000,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,13272,13272,0,16,0,1,15,success,completed_as_requested,7c1886bfcc387cba
eb21b83b-a6b,lc_04_catalog_1000,large_catalog,I1,,,123,scripted-v1,1000,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,13314,13314,0,15,0,1,14,success,completed_as_requested,337a9c59ad203f44
88b4a1f4-af1,lc_04_catalog_1000,large_catalog,I1,,,456,scripted-v1,1000,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,13476,13476,0,16,0,1,15,success,completed_as_requested,41d04979e23ab4f3
ecf4f380-935,lc_04_catalog_1000,large_catalog,I2,,,42,scripted-v1,1000,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,74,74,0,11,0,1,10,success,completed_as_requested,7c1886bfcc387cba
816444b9-56a,lc_04_catalog_1000,large_catalog,I2,,,123,scripted-v1,1000,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,74,74,0,14,0,1,13,success,completed_as_requested,337a9c59ad203f44
44c77009-3c6,lc_04_catalog_1000,large_catalog,I2,,,456,scripted-v1,1000,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,74,74,0,11,0,1,10,success,completed_as_requested,41d04979e23ab4f3
4cc3f47d-d6e,lc_04_catalog_1000,large_catalog,I5,,,42,scripted-v1,1000,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,74,74,0,12,0,1,11,success,completed_as_requested,7c1886bfcc387cba
7db7a2df-2a8,lc_04_catalog_1000,large_catalog,I5,,,123,scripted-v1,1000,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,74,74,0,11,0,1,10,success,completed_as_requested,337a9c59ad203f44
7637f4b4-9d5,lc_04_catalog_1000,large_catalog,I5,,,456,scripted-v1,1000,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,74,74,0,12,0,2,10,success,completed_as_requested,41d04979e23ab4f3
9c9570f5-6d0,lc_04_catalog_1000,large_catalog,I5-minus-selective-discovery,,,42,scripted-v1,1000,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,13270,13270,0,16,0,1,15,success,completed_as_requested,7c1886bfcc387cba
df0a35c4-3d6,lc_04_catalog_1000,large_catalog,I5-minus-selective-discovery,,,123,scripted-v1,1000,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,13312,13312,0,15,0,1,14,success,completed_as_requested,337a9c59ad203f44
6b25b6ac-41e,lc_04_catalog_1000,large_catalog,I5-minus-selective-discovery,,,456,scripted-v1,1000,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,13474,13474,0,16,0,1,15,success,completed_as_requested,41d04979e23ab4f3
5c10c806-a11,lc_05_similar_tools_disambiguation,large_catalog,I1,,,42,scripted-v1,50,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,392,392,0,1,0,0,1,success,completed_as_requested,00444528e60c3e2c
dd4e925d-496,lc_05_similar_tools_disambiguation,large_catalog,I1,,,123,scripted-v1,50,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,388,388,0,1,0,0,1,success,completed_as_requested,8c6b1b7454198e3e
c39f64da-a8c,lc_05_similar_tools_disambiguation,large_catalog,I1,,,456,scripted-v1,50,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,388,388,0,1,0,0,1,success,completed_as_requested,885826e86e93bff9
6ca0608a-8ac,lc_05_similar_tools_disambiguation,large_catalog,I2,,,42,scripted-v1,50,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,34,34,0,1,0,0,1,success,completed_as_requested,00444528e60c3e2c
614c493d-974,lc_05_similar_tools_disambiguation,large_catalog,I2,,,123,scripted-v1,50,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,34,34,0,0,0,0,0,success,completed_as_requested,8c6b1b7454198e3e
bf5e8dd4-d30,lc_05_similar_tools_disambiguation,large_catalog,I2,,,456,scripted-v1,50,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,32,32,0,1,0,0,1,success,completed_as_requested,885826e86e93bff9
2a3a8d23-d6c,lc_05_similar_tools_disambiguation,large_catalog,I5,,,42,scripted-v1,50,,,short,none,,true,true,true,false,false,false,false,,,0,1,1,0,0,34,34,0,1,0,0,1,success,completed_as_requested,00444528e60c3e2c
