run_id,task_id,world,interface_condition,ablation,fault_type,seed,agent_id,catalog_size,tool_confusion_level,entity_ambiguity_level,workflow_length,effect_severity,approval_required,state_correct_completion,postcondition_satisfied,safety_predicate_satisfied,duplicate_effect,unintended_effect,unauthorized_effect,residual_effect,recovery_success,unknown_outcome_reconciled,human_intervention_count,model_turns,tool_calls,transport_retries,logical_reexecutions,context_tokens,tool_definition_tokens,tool_result_tokens,wall_clock_ms,recovery_ms,verification_ms,runtime_overhead_ms,terminal_agent_claim,terminal_oracle_outcome,initial_state_hash
9b2c9848-088,sqlite_01_update_phone,sqlite_crm,I0,,,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,89,0,4,85,success,completed_as_requested,b77a118e38eaa210
770e217e-7ca,sqlite_01_update_phone,sqlite_crm,I0,,,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,63,0,1,62,success,completed_as_requested,b77a118e38eaa210
392c1699-419,sqlite_01_update_phone,sqlite_crm,I0,,,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,49,0,1,48,success,completed_as_requested,b77a118e38eaa210
4b27d08d-904,sqlite_01_update_phone,sqlite_crm,I0,,lost_response_after_effect,42,capability-aware-v1,10,,,short,mutable,,true,true,true,true,false,false,false,,,0,2,2,1,0,150,150,0,59,0,1,58,success,completed_as_requested,b77a118e38eaa210
8b3cb759-2fd,sqlite_01_update_phone,sqlite_crm,I0,,lost_response_after_effect,123,capability-aware-v1,10,,,short,mutable,,true,true,true,true,false,false,false,,,0,2,2,1,0,150,150,0,74,0,4,70,success,completed_as_requested,b77a118e38eaa210
a28fc29e-a72,sqlite_01_update_phone,sqlite_crm,I0,,lost_response_after_effect,456,capability-aware-v1,10,,,short,mutable,,true,true,true,true,false,false,false,,,0,2,2,1,0,150,150,0,87,0,1,86,success,completed_as_requested,b77a118e38eaa210
66c23b9e-fa4,sqlite_01_update_phone,sqlite_crm,I0,,stale_state,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,52,0,1,51,success,completed_as_requested,b77a118e38eaa210
605f5f5c-e0e,sqlite_01_update_phone,sqlite_crm,I0,,stale_state,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,49,0,1,48,success,completed_as_requested,b77a118e38eaa210
17cdf951-301,sqlite_01_update_phone,sqlite_crm,I0,,stale_state,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,54,0,7,47,success,completed_as_requested,b77a118e38eaa210
cde76656-4a8,sqlite_01_update_phone,sqlite_crm,I1,,,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,49,0,1,48,success,completed_as_requested,b77a118e38eaa210
5ef063d2-e67,sqlite_01_update_phone,sqlite_crm,I1,,,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,50,0,1,49,success,completed_as_requested,b77a118e38eaa210
106aefd9-0e3,sqlite_01_update_phone,sqlite_crm,I1,,,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,50,0,1,49,success,completed_as_requested,b77a118e38eaa210
52181ca7-ba1,sqlite_01_update_phone,sqlite_crm,I1,,lost_response_after_effect,42,capability-aware-v1,10,,,short,mutable,,true,true,true,true,false,false,false,,,0,2,2,1,0,150,150,0,59,0,1,58,success,completed_as_requested,b77a118e38eaa210
64babaef-683,sqlite_01_update_phone,sqlite_crm,I1,,lost_response_after_effect,123,capability-aware-v1,10,,,short,mutable,,true,true,true,true,false,false,false,,,0,2,2,1,0,150,150,0,60,0,1,59,success,completed_as_requested,b77a118e38eaa210
2af1d8ce-092,sqlite_01_update_phone,sqlite_crm,I1,,lost_response_after_effect,456,capability-aware-v1,10,,,short,mutable,,true,true,true,true,false,false,false,,,0,2,2,1,0,150,150,0,56,0,1,55,success,completed_as_requested,b77a118e38eaa210
5a3d80d9-51d,sqlite_01_update_phone,sqlite_crm,I1,,stale_state,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,51,0,1,50,success,completed_as_requested,b77a118e38eaa210
6769ae64-bcf,sqlite_01_update_phone,sqlite_crm,I1,,stale_state,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,51,0,3,48,success,completed_as_requested,b77a118e38eaa210
b57c359d-1a9,sqlite_01_update_phone,sqlite_crm,I1,,stale_state,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,54,0,1,53,success,completed_as_requested,b77a118e38eaa210
b08bba37-0d9,sqlite_01_update_phone,sqlite_crm,I4,,,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,52,52,0,60,0,1,59,success,completed_as_requested,b77a118e38eaa210
6a5dce8c-de3,sqlite_01_update_phone,sqlite_crm,I4,,,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,52,52,0,49,0,2,47,success,completed_as_requested,b77a118e38eaa210
8f2ed483-be0,sqlite_01_update_phone,sqlite_crm,I4,,,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,52,52,0,51,0,1,50,success,completed_as_requested,b77a118e38eaa210
61a9aca3-09f,sqlite_01_update_phone,sqlite_crm,I4,,lost_response_after_effect,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,2,2,1,0,52,52,0,47,0,0,47,success,completed_as_requested,b77a118e38eaa210
ce5d85b6-c30,sqlite_01_update_phone,sqlite_crm,I4,,lost_response_after_effect,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,2,2,1,0,52,52,0,69,0,4,65,success,completed_as_requested,b77a118e38eaa210
7ec414a2-68f,sqlite_01_update_phone,sqlite_crm,I4,,lost_response_after_effect,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,2,2,1,0,52,52,0,92,0,1,91,success,completed_as_requested,b77a118e38eaa210
6c79381a-c37,sqlite_01_update_phone,sqlite_crm,I4,,stale_state,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,52,52,0,53,0,1,52,success,completed_as_requested,b77a118e38eaa210
30f349f8-8a1,sqlite_01_update_phone,sqlite_crm,I4,,stale_state,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,52,52,0,50,0,1,49,success,completed_as_requested,b77a118e38eaa210
78d2a2ff-8c5,sqlite_01_update_phone,sqlite_crm,I4,,stale_state,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,52,52,0,55,0,1,54,success,completed_as_requested,b77a118e38eaa210
f74cc55c-a9a,sqlite_01_update_phone,sqlite_crm,I5,,,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,52,52,0,49,0,1,48,success,completed_as_requested,b77a118e38eaa210
c92c6620-f24,sqlite_01_update_phone,sqlite_crm,I5,,,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,52,52,0,48,0,1,47,success,completed_as_requested,b77a118e38eaa210
3344b269-25e,sqlite_01_update_phone,sqlite_crm,I5,,,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,52,52,0,47,0,1,46,success,completed_as_requested,b77a118e38eaa210
c8ea9948-898,sqlite_01_update_phone,sqlite_crm,I5,,lost_response_after_effect,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,true,true,0,1,1,0,0,52,52,0,49,0,1,48,success,completed_as_requested,b77a118e38eaa210
16e85902-260,sqlite_01_update_phone,sqlite_crm,I5,,lost_response_after_effect,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,true,true,0,1,1,0,0,52,52,0,54,0,1,53,success,completed_as_requested,b77a118e38eaa210
2aee6faf-30d,sqlite_01_update_phone,sqlite_crm,I5,,lost_response_after_effect,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,true,true,0,1,1,0,0,52,52,0,46,0,1,45,success,completed_as_requested,b77a118e38eaa210
f0e3d116-101,sqlite_01_update_phone,sqlite_crm,I5,,stale_state,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,52,52,0,60,0,1,59,success,completed_as_requested,b77a118e38eaa210
d5a6504b-ad3,sqlite_01_update_phone,sqlite_crm,I5,,stale_state,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,52,52,0,53,0,1,52,success,completed_as_requested,b77a118e38eaa210
3033a0f4-29e,sqlite_01_update_phone,sqlite_crm,I5,,stale_state,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,52,52,0,50,0,1,49,success,completed_as_requested,b77a118e38eaa210
c47adcab-c75,sqlite_02_create_contact,sqlite_crm,I0,,,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,78,0,1,77,success,completed_as_requested,b77a118e38eaa210
022d945c-4bc,sqlite_02_create_contact,sqlite_crm,I0,,,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,53,0,1,52,success,completed_as_requested,b77a118e38eaa210
03959e25-de9,sqlite_02_create_contact,sqlite_crm,I0,,,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,47,0,1,46,success,completed_as_requested,b77a118e38eaa210
1ea925d2-ce8,sqlite_02_create_contact,sqlite_crm,I0,,lost_response_after_effect,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,2,2,1,0,150,150,0,51,0,1,50,failure,completed_as_requested,b77a118e38eaa210
3e4ebbde-0f8,sqlite_02_create_contact,sqlite_crm,I0,,lost_response_after_effect,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,2,2,1,0,150,150,0,44,0,0,44,failure,completed_as_requested,b77a118e38eaa210
3adbd546-d3a,sqlite_02_create_contact,sqlite_crm,I0,,lost_response_after_effect,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,2,2,1,0,150,150,0,78,0,2,76,failure,completed_as_requested,b77a118e38eaa210
d0d2bc0f-545,sqlite_02_create_contact,sqlite_crm,I0,,stale_state,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,55,0,1,54,success,completed_as_requested,b77a118e38eaa210
bbf3ccce-273,sqlite_02_create_contact,sqlite_crm,I0,,stale_state,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,50,0,1,49,success,completed_as_requested,b77a118e38eaa210
7a3922eb-dd1,sqlite_02_create_contact,sqlite_crm,I0,,stale_state,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,49,0,1,48,success,completed_as_requested,b77a118e38eaa210
2bc3b4b3-97e,sqlite_02_create_contact,sqlite_crm,I1,,,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,42,0,0,42,success,completed_as_requested,b77a118e38eaa210
4dc79721-2a1,sqlite_02_create_contact,sqlite_crm,I1,,,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,59,0,1,58,success,completed_as_requested,b77a118e38eaa210
b943584a-11b,sqlite_02_create_contact,sqlite_crm,I1,,,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,58,0,1,57,success,completed_as_requested,b77a118e38eaa210
317ec917-808,sqlite_02_create_contact,sqlite_crm,I1,,lost_response_after_effect,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,2,2,1,0,150,150,0,63,0,1,62,failure,completed_as_requested,b77a118e38eaa210
dbbffabe-cda,sqlite_02_create_contact,sqlite_crm,I1,,lost_response_after_effect,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,2,2,1,0,150,150,0,53,0,1,52,failure,completed_as_requested,b77a118e38eaa210
77922c09-11b,sqlite_02_create_contact,sqlite_crm,I1,,lost_response_after_effect,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,2,2,1,0,150,150,0,49,0,1,48,failure,completed_as_requested,b77a118e38eaa210
3eaad6a0-426,sqlite_02_create_contact,sqlite_crm,I1,,stale_state,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,48,0,1,47,success,completed_as_requested,b77a118e38eaa210
03eb18ff-46b,sqlite_02_create_contact,sqlite_crm,I1,,stale_state,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,49,0,3,46,success,completed_as_requested,b77a118e38eaa210
7172ec30-784,sqlite_02_create_contact,sqlite_crm,I1,,stale_state,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,150,150,0,64,0,1,63,success,completed_as_requested,b77a118e38eaa210
73f63c25-477,sqlite_02_create_contact,sqlite_crm,I4,,,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,54,54,0,45,0,1,44,success,completed_as_requested,b77a118e38eaa210
1f1bd32c-396,sqlite_02_create_contact,sqlite_crm,I4,,,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,54,54,0,42,0,1,41,success,completed_as_requested,b77a118e38eaa210
c7f731eb-e53,sqlite_02_create_contact,sqlite_crm,I4,,,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,54,54,0,56,0,1,55,success,completed_as_requested,b77a118e38eaa210
c470742d-c0f,sqlite_02_create_contact,sqlite_crm,I4,,lost_response_after_effect,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,2,2,1,0,54,54,0,52,0,1,51,success,completed_as_requested,b77a118e38eaa210
7b7d82af-9fd,sqlite_02_create_contact,sqlite_crm,I4,,lost_response_after_effect,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,2,2,1,0,54,54,0,50,0,1,49,success,completed_as_requested,b77a118e38eaa210
ff8adb0f-428,sqlite_02_create_contact,sqlite_crm,I4,,lost_response_after_effect,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,2,2,1,0,54,54,0,75,0,1,74,success,completed_as_requested,b77a118e38eaa210
12a2889b-03a,sqlite_02_create_contact,sqlite_crm,I4,,stale_state,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,54,54,0,54,0,1,53,success,completed_as_requested,b77a118e38eaa210
9a67d9e1-745,sqlite_02_create_contact,sqlite_crm,I4,,stale_state,123,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,54,54,0,49,0,1,48,success,completed_as_requested,b77a118e38eaa210
4eda088c-c64,sqlite_02_create_contact,sqlite_crm,I4,,stale_state,456,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,54,54,0,50,0,1,49,success,completed_as_requested,b77a118e38eaa210
afcee9e3-73d,sqlite_02_create_contact,sqlite_crm,I5,,,42,capability-aware-v1,10,,,short,mutable,,true,true,true,false,false,false,false,,,0,1,1,0,0,54,54,0,50,0,2,48,success,completed_as_requested,b77a118e38eaa210
